alpha,gamma,epsilon,success_rate,last_failure
0.5,0.1,0.1,1.0,81
0.5,0.1,0.1,0.98,30
0.5,0.1,0.1,0.97,94
0.5,0.1,0.1,0.97,28
0.5,0.1,0.1,0.95,77
0.5,0.1,0.1,0.97,94
0.5,0.1,0.1,0.61,98
0.5,0.1,0.1,0.55,98
0.5,0.1,0.1,0.56,94
0.5,0.1,0.1,0.54,99
0.5,0.1,0.1,0.56,95
0.5,0.1,0.1,0.52,95
0.5,0.1,0.1,0.52,95
0.5,0.1,0.1,0.42,90
0.5,0.1,0.1,0.56,98
0.5,0.1,0.1,0.56,97
0.5,0.1,0.1,0.97,52
0.5,0.1,0.1,0.96,7
0.5,0.1,0.1,0.93,90
0.5,0.1,0.1,0.97,81
0.5,0.1,0.1,0.95,99
0.5,0.1,0.1,0.97,88
0.5,0.1,0.1,0.9,68
0.5,0.1,0.1,0.98,87
0.5,0.1,0.1,0.95,8
0.5,0.1,0.1,0.95,44
0.5,0.1,0.1,0.96,86
0.5,0.1,0.1,0.95,69
0.5,0.1,0.1,0.94,95
0.5,0.1,0.1,0.94,53
0.5,0.1,0.1,0.89,88
0.5,0.1,0.1,0.96,97
0.5,0.1,0.1,0.98,62
0.5,0.1,0.1,0.98,94
0.5,0.1,0.1,0.95,77
0.5,0.1,0.1,0.99,4
0.5,0.1,0.1,0.93,88
0.5,0.1,0.1,0.94,81
0.5,0.1,0.1,0.98,9
0.5,0.1,0.1,0.92,95
